name,aliases,note,birth_label,birth_calendar_era,birth_start_year,birth_end_year,birth_is_approximate,death_label,death_calendar_era,death_start_year,death_end_year,death_is_approximate,regions,religions,sects,periods
ハーフィズ・アル＝アサド,Hafez al-Assad,Pantheon職業: Politician / 出生国: Syria / 出生地: Latakia,,CE,1930,,false,,CE,2000,,false,,,,
ネロ,Nero,Pantheon職業: Politician / 出生国: Italy,,CE,37,,false,,CE,68,,false,,,,
エドヴァルド・ムンク,Edvard Munch,Pantheon職業: Painter / 出生国: Norway / 出生地: Ådalsbruk,,CE,1863,,false,,CE,1944,,false,,,,
ヴィルヘルム・レントゲン,Wilhelm Röntgen,Pantheon職業: Physicist / 出生国: Germany / 出生地: Remscheid,,CE,1845,,false,,CE,1923,,false,,,,
ジュゼッペ・ガリバルディ,Giuseppe Garibaldi,Pantheon職業: Politician / 出生国: France / 出生地: Nice,,CE,1807,,false,,CE,1882,,false,,,,
クラウディオス・プトレマイオス,Ptolemy,Pantheon職業: Astronomer / 出生国: Egypt / 出生地: Ptolemais Hermiou,,CE,100,,false,,CE,170,,false,,,,
フランツ2世,"Francis II, Holy Roman Emperor",Pantheon職業: Politician / 出生国: Italy / 出生地: Florence,,CE,1768,,false,,CE,1835,,false,,,,
ヘンリー6世,Henry VI of England,Pantheon職業: Politician / 出生国: United Kingdom / 出生地: Windsor Castle,,CE,1421,,false,,CE,1471,,false,,,,
フレディ・マーキュリー,Freddie Mercury,Pantheon職業: Musician / 出生国: Tanzania / 出生地: Stone Town,,CE,1946,,false,,CE,1991,,false,,,,
ディエゴ・ベラスケス,Diego Velázquez,Pantheon職業: Painter / 出生国: Spain / 出生地: Seville,,CE,1599,,false,,CE,1660,,false,,,,
ルイ15世,Louis XV of France,Pantheon職業: Politician / 出生国: France / 出生地: Palace of Versailles,,CE,1710,,false,,CE,1774,,false,,,,
ドミトリ・メンデレーエフ,Dmitri Mendeleev,Pantheon職業: Chemist / 出生国: Russia / 出生地: Tobolsk Governorate,,CE,1834,,false,,CE,1907,,false,,,,
アントニ・ガウディ,Antoni Gaudí,Pantheon職業: Architect / 出生国: Spain / 出生地: Reus,,CE,1852,,false,,CE,1926,,false,,,,
ウィリアム4世,William IV,Pantheon職業: Politician / 出生国: United Kingdom / 出生地: Buckingham Palace,,CE,1765,,false,,CE,1837,,false,,,,
エドワード4世,Edward IV of England,Pantheon職業: Politician / 出生国: France / 出生地: Rouen,,CE,1442,,false,,CE,1483,,false,,,,
キュロス2世,Cyrus the Great,Pantheon職業: Politician / 出生国: Iran / 出生地: Anshan (Persia),,BCE,600,,false,,BCE,530,,false,,,,
ピョートル1世,Peter the Great,Pantheon職業: Politician / 出生国: Russia / 出生地: Moscow,,CE,1672,,false,,CE,1725,,false,,,,
ムハンマド・アリー・ジンナー,Mohammad Ali Jinnah,Pantheon職業: Politician / 出生国: Pakistan / 出生地: Karachi,,CE,1876,,false,,CE,1948,,false,,,,
オウィディウス,Ovid,Pantheon職業: Writer / 出生国: Italy / 出生地: Sulmona,,BCE,43,,false,,CE,17,,false,,,,
デモクリトス,Democritus,"Pantheon職業: Philosopher / 出生国: Greece / 出生地: Abdera, Thrace",,BCE,460,,false,,BCE,360,,false,,,,
ル・コルビュジエ,Le Corbusier,Pantheon職業: Architect / 出生国: Switzerland / 出生地: La Chaux-de-Fonds,,CE,1887,,false,,CE,1965,,false,,,,
ハイレ・セラシエ1世,Haile Selassie I,Pantheon職業: Politician / 出生国: Ethiopia / 出生地: Ejersa Goro,,CE,1892,,false,,CE,1975,,false,,,,
ハンムラビ,Hammurabi,Pantheon職業: Politician / 出生国: Iraq,,BCE,1810,,false,,BCE,1750,,false,,,,
アレクサンドル・デュマ・ペール,Alexandre Dumas,Pantheon職業: Writer / 出生国: France / 出生地: Villers-Cotterêts,,CE,1802,,false,,CE,1870,,false,,,,
ヤコブ,St. James the Elder,Pantheon職業: Religious Figure / 出生地: Bethsaida,,CE,1,,false,,CE,44,,false,,,,
ルキウス・アンナエウス・セネカ,Seneca,"Pantheon職業: Philosopher / 出生国: Spain / 出生地: Córdoba, Spain",,BCE,4,,false,,CE,65,,false,,,,
アルベール・カミュ,Albert Camus,Pantheon職業: Writer / 出生国: Algeria / 出生地: Dréan,,CE,1913,,false,,CE,1960,,false,,,,
イブン・ハルドゥーン,Ibn Khaldun,Pantheon職業: Historian / 出生国: Tunisia / 出生地: Tunis,,CE,1332,,false,,CE,1406,,false,,,,
ヘーシオドス,Hesiod,Pantheon職業: Writer / 出生国: Türkiye / 出生地: Cyme (Aeolis),,BCE,800,,false,,BCE,700,,false,,,,
シャルル・ド・ゴール,Charles de Gaulle,Pantheon職業: Military Personnel / 出生国: France / 出生地: Lille,,CE,1890,,false,,CE,1970,,false,,,,
ウマル・ハイヤーム,Omar Khayyám,Pantheon職業: Mathematician / 出生国: Iran / 出生地: Nishapur,,CE,1048,,false,,CE,1131,,false,,,,
